Epochs : 1, train loss : 0.758330, train accurancy : 68.70, test accurancy : 65.37
Epochs : 2, train loss : 0.695632, train accurancy : 70.09, test accurancy : 67.22
Epochs : 3, train loss : 0.636998, train accurancy : 70.09, test accurancy : 68.06
Epochs : 4, train loss : 0.636979, train accurancy : 71.67, test accurancy : 68.70
Epochs : 5, train loss : 0.606639, train accurancy : 71.94, test accurancy : 68.80
Epochs : 6, train loss : 0.586112, train accurancy : 72.50, test accurancy : 68.43
Epochs : 7, train loss : 0.613243, train accurancy : 73.52, test accurancy : 70.74
Epochs : 8, train loss : 0.598019, train accurancy : 73.52, test accurancy : 70.09
Epochs : 9, train loss : 0.622207, train accurancy : 73.15, test accurancy : 68.89
Epochs : 10, train loss : 0.594428, train accurancy : 75.19, test accurancy : 69.72
Epochs : 11, train loss : 0.574402, train accurancy : 73.70, test accurancy : 70.46
Epochs : 12, train loss : 0.589117, train accurancy : 74.17, test accurancy : 70.46
Epochs : 13, train loss : 0.572764, train accurancy : 76.11, test accurancy : 70.56
Epochs : 14, train loss : 0.563908, train accurancy : 75.56, test accurancy : 71.20
Epochs : 15, train loss : 0.571858, train accurancy : 74.81, test accurancy : 70.83
Epochs : 16, train loss : 0.539741, train accurancy : 77.59, test accurancy : 70.83
Epochs : 17, train loss : 0.556382, train accurancy : 74.35, test accurancy : 71.20
Epochs : 18, train loss : 0.554070, train accurancy : 76.39, test accurancy : 70.65
Epochs : 19, train loss : 0.553553, train accurancy : 77.31, test accurancy : 70.83
Epochs : 20, train loss : 0.524367, train accurancy : 76.94, test accurancy : 72.41
Epochs : 21, train loss : 0.539380, train accurancy : 78.06, test accurancy : 71.57
Epochs : 22, train loss : 0.537649, train accurancy : 76.48, test accurancy : 72.04
Epochs : 23, train loss : 0.540174, train accurancy : 77.41, test accurancy : 73.43
Epochs : 24, train loss : 0.529229, train accurancy : 78.98, test accurancy : 72.69
Epochs : 25, train loss : 0.522010, train accurancy : 78.06, test accurancy : 73.33
Epochs : 26, train loss : 0.528116, train accurancy : 76.76, test accurancy : 72.50
Epochs : 27, train loss : 0.534164, train accurancy : 80.37, test accurancy : 73.61
Epochs : 28, train loss : 0.501255, train accurancy : 79.63, test accurancy : 73.24
Epochs : 29, train loss : 0.516309, train accurancy : 80.83, test accurancy : 73.98
Epochs : 30, train loss : 0.507965, train accurancy : 78.33, test accurancy : 73.61
Epochs : 31, train loss : 0.514459, train accurancy : 80.00, test accurancy : 74.63
Epochs : 32, train loss : 0.505877, train accurancy : 80.09, test accurancy : 74.26
Epochs : 33, train loss : 0.498630, train accurancy : 81.30, test accurancy : 74.54
Epochs : 34, train loss : 0.509403, train accurancy : 81.11, test accurancy : 75.19
Epochs : 35, train loss : 0.505163, train accurancy : 82.04, test accurancy : 75.83
Epochs : 36, train loss : 0.517883, train accurancy : 76.76, test accurancy : 73.06
Epochs : 37, train loss : 0.486378, train accurancy : 83.15, test accurancy : 76.20
Epochs : 38, train loss : 0.471065, train accurancy : 81.67, test accurancy : 75.37
Epochs : 39, train loss : 0.497852, train accurancy : 80.65, test accurancy : 74.81
Epochs : 40, train loss : 0.472788, train accurancy : 82.04, test accurancy : 76.67
Epochs : 41, train loss : 0.488582, train accurancy : 83.24, test accurancy : 77.22
Epochs : 42, train loss : 0.462521, train accurancy : 83.15, test accurancy : 76.11
Epochs : 43, train loss : 0.482463, train accurancy : 82.13, test accurancy : 77.31
Epochs : 44, train loss : 0.490063, train accurancy : 82.96, test accurancy : 76.30
Epochs : 45, train loss : 0.484767, train accurancy : 81.20, test accurancy : 75.37
Epochs : 46, train loss : 0.473012, train accurancy : 83.43, test accurancy : 77.13
Epochs : 47, train loss : 0.478000, train accurancy : 84.44, test accurancy : 77.50
Epochs : 48, train loss : 0.472685, train accurancy : 85.28, test accurancy : 77.50
Epochs : 49, train loss : 0.453365, train accurancy : 83.15, test accurancy : 77.69
Epochs : 50, train loss : 0.455586, train accurancy : 84.54, test accurancy : 77.50
Epochs : 51, train loss : 0.480174, train accurancy : 82.41, test accurancy : 77.22
Epochs : 52, train loss : 0.460612, train accurancy : 85.56, test accurancy : 77.87
Epochs : 53, train loss : 0.465816, train accurancy : 85.28, test accurancy : 77.59
Epochs : 54, train loss : 0.443051, train accurancy : 85.09, test accurancy : 77.96
Epochs : 55, train loss : 0.441234, train accurancy : 85.83, test accurancy : 78.98
Epochs : 56, train loss : 0.443292, train accurancy : 84.63, test accurancy : 76.20
Epochs : 57, train loss : 0.474542, train accurancy : 86.02, test accurancy : 78.06
Epochs : 58, train loss : 0.468269, train accurancy : 86.11, test accurancy : 77.13
Epochs : 59, train loss : 0.424337, train accurancy : 86.57, test accurancy : 77.96
Epochs : 60, train loss : 0.433257, train accurancy : 86.39, test accurancy : 78.52
Epochs : 61, train loss : 0.434285, train accurancy : 86.48, test accurancy : 78.52
Epochs : 62, train loss : 0.442642, train accurancy : 86.39, test accurancy : 78.24
Epochs : 63, train loss : 0.415417, train accurancy : 86.02, test accurancy : 78.98
Epochs : 64, train loss : 0.438227, train accurancy : 80.19, test accurancy : 73.61
