Epochs : 1, train loss : 0.798180, train accurancy : 50.65, test accurancy : 51.02
Epochs : 2, train loss : 0.754781, train accurancy : 56.02, test accurancy : 53.89
Epochs : 3, train loss : 0.694605, train accurancy : 66.39, test accurancy : 64.72
Epochs : 4, train loss : 0.665449, train accurancy : 71.39, test accurancy : 68.70
Epochs : 5, train loss : 0.667998, train accurancy : 72.87, test accurancy : 68.70
Epochs : 6, train loss : 0.627010, train accurancy : 71.85, test accurancy : 70.00
Epochs : 7, train loss : 0.605824, train accurancy : 73.52, test accurancy : 70.09
Epochs : 8, train loss : 0.590670, train accurancy : 70.28, test accurancy : 69.17
Epochs : 9, train loss : 0.573238, train accurancy : 72.04, test accurancy : 69.54
Epochs : 10, train loss : 0.597149, train accurancy : 73.43, test accurancy : 69.72
Epochs : 11, train loss : 0.573943, train accurancy : 73.98, test accurancy : 71.30
Epochs : 12, train loss : 0.596766, train accurancy : 75.28, test accurancy : 72.31
Epochs : 13, train loss : 0.575669, train accurancy : 75.65, test accurancy : 72.96
Epochs : 14, train loss : 0.570664, train accurancy : 73.80, test accurancy : 71.20
Epochs : 15, train loss : 0.549882, train accurancy : 71.76, test accurancy : 70.28
Epochs : 16, train loss : 0.562752, train accurancy : 76.76, test accurancy : 73.15
Epochs : 17, train loss : 0.539781, train accurancy : 76.85, test accurancy : 72.59
Epochs : 18, train loss : 0.559952, train accurancy : 72.31, test accurancy : 71.11
Epochs : 19, train loss : 0.536322, train accurancy : 74.44, test accurancy : 71.11
Epochs : 20, train loss : 0.522219, train accurancy : 74.44, test accurancy : 72.41
Epochs : 21, train loss : 0.530203, train accurancy : 77.41, test accurancy : 74.26
Epochs : 22, train loss : 0.525658, train accurancy : 74.91, test accurancy : 71.67
Epochs : 23, train loss : 0.536504, train accurancy : 74.44, test accurancy : 72.04
Epochs : 24, train loss : 0.513437, train accurancy : 74.81, test accurancy : 72.50
Epochs : 25, train loss : 0.527197, train accurancy : 75.65, test accurancy : 72.41
Epochs : 26, train loss : 0.514839, train accurancy : 77.04, test accurancy : 74.26
Epochs : 27, train loss : 0.527969, train accurancy : 73.98, test accurancy : 70.74
Epochs : 28, train loss : 0.504050, train accurancy : 78.80, test accurancy : 74.81
Epochs : 29, train loss : 0.512433, train accurancy : 79.81, test accurancy : 77.59
