Epochs : 1, train loss : 0.806388, train accurancy : 50.28, test accurancy : 50.93
Epochs : 2, train loss : 0.753746, train accurancy : 53.80, test accurancy : 53.89
Epochs : 3, train loss : 0.734438, train accurancy : 62.78, test accurancy : 61.11
Epochs : 4, train loss : 0.699396, train accurancy : 67.31, test accurancy : 65.09
Epochs : 5, train loss : 0.664793, train accurancy : 70.09, test accurancy : 68.33
Epochs : 6, train loss : 0.641220, train accurancy : 71.85, test accurancy : 69.17
Epochs : 7, train loss : 0.622337, train accurancy : 66.39, test accurancy : 66.11
Epochs : 8, train loss : 0.611560, train accurancy : 68.98, test accurancy : 68.89
Epochs : 9, train loss : 0.601895, train accurancy : 72.96, test accurancy : 70.46
Epochs : 10, train loss : 0.583592, train accurancy : 73.52, test accurancy : 70.93
Epochs : 11, train loss : 0.582850, train accurancy : 73.89, test accurancy : 71.30
Epochs : 12, train loss : 0.571888, train accurancy : 70.19, test accurancy : 70.37
Epochs : 13, train loss : 0.556205, train accurancy : 75.00, test accurancy : 70.93
Epochs : 14, train loss : 0.561683, train accurancy : 74.81, test accurancy : 71.48
Epochs : 15, train loss : 0.563856, train accurancy : 75.83, test accurancy : 72.50
Epochs : 16, train loss : 0.559128, train accurancy : 74.81, test accurancy : 71.85
Epochs : 17, train loss : 0.557713, train accurancy : 76.39, test accurancy : 73.70
Epochs : 18, train loss : 0.540810, train accurancy : 72.96, test accurancy : 72.59
Epochs : 19, train loss : 0.533889, train accurancy : 77.22, test accurancy : 73.89
Epochs : 20, train loss : 0.539464, train accurancy : 77.22, test accurancy : 73.80
Epochs : 21, train loss : 0.552773, train accurancy : 73.80, test accurancy : 73.15
Epochs : 22, train loss : 0.520245, train accurancy : 74.54, test accurancy : 72.69
Epochs : 23, train loss : 0.529931, train accurancy : 77.50, test accurancy : 74.35
Epochs : 24, train loss : 0.513805, train accurancy : 78.43, test accurancy : 75.65
Epochs : 25, train loss : 0.515101, train accurancy : 78.52, test accurancy : 75.28
Epochs : 26, train loss : 0.536224, train accurancy : 77.69, test accurancy : 76.11
Epochs : 27, train loss : 0.503839, train accurancy : 79.07, test accurancy : 76.48
Epochs : 28, train loss : 0.508238, train accurancy : 79.63, test accurancy : 76.67
Epochs : 29, train loss : 0.487955, train accurancy : 79.72, test accurancy : 76.76
Epochs : 30, train loss : 0.511636, train accurancy : 71.94, test accurancy : 71.30
Epochs : 31, train loss : 0.513897, train accurancy : 77.78, test accurancy : 75.19
Epochs : 32, train loss : 0.489181, train accurancy : 79.72, test accurancy : 77.04
Epochs : 33, train loss : 0.496817, train accurancy : 75.19, test accurancy : 72.96
Epochs : 34, train loss : 0.495218, train accurancy : 76.57, test accurancy : 74.35
Epochs : 35, train loss : 0.470439, train accurancy : 79.63, test accurancy : 77.31
Epochs : 36, train loss : 0.465603, train accurancy : 77.04, test accurancy : 75.00
Epochs : 37, train loss : 0.470187, train accurancy : 78.43, test accurancy : 76.57
Epochs : 38, train loss : 0.497290, train accurancy : 75.83, test accurancy : 73.24
Epochs : 39, train loss : 0.485106, train accurancy : 80.46, test accurancy : 78.33
Epochs : 40, train loss : 0.461273, train accurancy : 80.74, test accurancy : 77.59
Epochs : 41, train loss : 0.477491, train accurancy : 80.19, test accurancy : 77.13
Epochs : 42, train loss : 0.469675, train accurancy : 78.24, test accurancy : 75.09
Epochs : 43, train loss : 0.475767, train accurancy : 80.28, test accurancy : 76.85
Epochs : 44, train loss : 0.467116, train accurancy : 81.20, test accurancy : 77.87
Epochs : 45, train loss : 0.449181, train accurancy : 81.48, test accurancy : 78.24
Epochs : 46, train loss : 0.457664, train accurancy : 80.46, test accurancy : 77.13
Epochs : 47, train loss : 0.456739, train accurancy : 80.19, test accurancy : 76.94
Epochs : 48, train loss : 0.438575, train accurancy : 73.80, test accurancy : 71.67
Epochs : 49, train loss : 0.450766, train accurancy : 81.67, test accurancy : 79.17
Epochs : 50, train loss : 0.457953, train accurancy : 81.11, test accurancy : 77.87
Epochs : 51, train loss : 0.443893, train accurancy : 82.50, test accurancy : 79.44
Epochs : 52, train loss : 0.450594, train accurancy : 79.17, test accurancy : 74.63
Epochs : 53, train loss : 0.433374, train accurancy : 82.41, test accurancy : 79.26
Epochs : 54, train loss : 0.452564, train accurancy : 82.96, test accurancy : 79.26
Epochs : 55, train loss : 0.443860, train accurancy : 81.30, test accurancy : 76.67
Epochs : 56, train loss : 0.462024, train accurancy : 83.70, test accurancy : 79.91
Epochs : 57, train loss : 0.450250, train accurancy : 83.24, test accurancy : 79.35
Epochs : 58, train loss : 0.448030, train accurancy : 82.78, test accurancy : 78.70
Epochs : 59, train loss : 0.445654, train accurancy : 77.13, test accurancy : 73.43
Epochs : 60, train loss : 0.422842, train accurancy : 81.85, test accurancy : 76.76
Epochs : 61, train loss : 0.450537, train accurancy : 82.50, test accurancy : 77.96
Epochs : 62, train loss : 0.429731, train accurancy : 83.61, test accurancy : 79.81
Epochs : 63, train loss : 0.437906, train accurancy : 83.61, test accurancy : 79.17
Epochs : 64, train loss : 0.461582, train accurancy : 83.24, test accurancy : 78.15
Epochs : 65, train loss : 0.432927, train accurancy : 82.87, test accurancy : 77.87
Epochs : 66, train loss : 0.429822, train accurancy : 80.19, test accurancy : 77.04
Epochs : 67, train loss : 0.437936, train accurancy : 82.31, test accurancy : 76.57
Epochs : 68, train loss : 0.428203, train accurancy : 84.07, test accurancy : 79.17
Epochs : 69, train loss : 0.444489, train accurancy : 84.07, test accurancy : 79.35
Epochs : 70, train loss : 0.407090, train accurancy : 84.35, test accurancy : 78.52
Epochs : 71, train loss : 0.398865, train accurancy : 83.70, test accurancy : 77.41
Epochs : 72, train loss : 0.404934, train accurancy : 83.52, test accurancy : 77.78
Epochs : 73, train loss : 0.433889, train accurancy : 84.44, test accurancy : 78.15
Epochs : 74, train loss : 0.430670, train accurancy : 85.28, test accurancy : 80.19
Epochs : 75, train loss : 0.431208, train accurancy : 84.81, test accurancy : 79.63
Epochs : 76, train loss : 0.415209, train accurancy : 80.00, test accurancy : 75.00
Epochs : 77, train loss : 0.427114, train accurancy : 85.37, test accurancy : 79.35
Epochs : 78, train loss : 0.408445, train accurancy : 85.28, test accurancy : 79.91
Epochs : 79, train loss : 0.417453, train accurancy : 82.78, test accurancy : 76.85
Epochs : 80, train loss : 0.410552, train accurancy : 85.37, test accurancy : 78.98
Epochs : 81, train loss : 0.427624, train accurancy : 85.00, test accurancy : 78.33
Epochs : 82, train loss : 0.421058, train accurancy : 85.37, test accurancy : 78.15
Epochs : 83, train loss : 0.405958, train accurancy : 86.57, test accurancy : 79.35
Epochs : 84, train loss : 0.403106, train accurancy : 85.93, test accurancy : 80.00
Epochs : 85, train loss : 0.383478, train accurancy : 82.59, test accurancy : 77.22
Epochs : 86, train loss : 0.387519, train accurancy : 83.15, test accurancy : 77.87
Epochs : 87, train loss : 0.419200, train accurancy : 87.59, test accurancy : 80.74
Epochs : 88, train loss : 0.383935, train accurancy : 87.22, test accurancy : 80.19
Epochs : 89, train loss : 0.396650, train accurancy : 88.06, test accurancy : 79.81
Epochs : 90, train loss : 0.383271, train accurancy : 84.26, test accurancy : 77.96
Epochs : 91, train loss : 0.389063, train accurancy : 85.74, test accurancy : 78.89
Epochs : 92, train loss : 0.375939, train accurancy : 86.39, test accurancy : 79.35
Epochs : 93, train loss : 0.392869, train accurancy : 84.81, test accurancy : 78.15
Epochs : 94, train loss : 0.388071, train accurancy : 87.41, test accurancy : 79.44
Epochs : 95, train loss : 0.372503, train accurancy : 84.54, test accurancy : 77.78
Epochs : 96, train loss : 0.382853, train accurancy : 86.76, test accurancy : 78.89
Epochs : 97, train loss : 0.360550, train accurancy : 83.43, test accurancy : 76.48
Epochs : 98, train loss : 0.383803, train accurancy : 86.20, test accurancy : 77.96
Epochs : 99, train loss : 0.380460, train accurancy : 87.41, test accurancy : 79.91
Epochs : 100, train loss : 0.380238, train accurancy : 87.13, test accurancy : 79.63
Epochs : 101, train loss : 0.399873, train accurancy : 86.11, test accurancy : 78.61
Epochs : 102, train loss : 0.375299, train accurancy : 88.52, test accurancy : 79.72
Epochs : 103, train loss : 0.349293, train accurancy : 86.94, test accurancy : 78.33
Epochs : 104, train loss : 0.385504, train accurancy : 87.04, test accurancy : 77.96
Epochs : 105, train loss : 0.372676, train accurancy : 86.39, test accurancy : 77.50
Epochs : 106, train loss : 0.374500, train accurancy : 88.70, test accurancy : 79.63
