Epochs : 1, train loss : 0.599010, train accurancy : 73.24, test accurancy : 70.56
Epochs : 2, train loss : 0.528299, train accurancy : 74.35, test accurancy : 70.74
Epochs : 3, train loss : 0.513356, train accurancy : 76.30, test accurancy : 71.76
Epochs : 4, train loss : 0.507434, train accurancy : 77.41, test accurancy : 72.13
Epochs : 5, train loss : 0.494681, train accurancy : 77.31, test accurancy : 72.04
Epochs : 6, train loss : 0.486761, train accurancy : 77.78, test accurancy : 73.33
Epochs : 7, train loss : 0.478704, train accurancy : 78.80, test accurancy : 72.41
Epochs : 8, train loss : 0.481963, train accurancy : 78.24, test accurancy : 71.48
Epochs : 9, train loss : 0.471788, train accurancy : 79.91, test accurancy : 73.24
Epochs : 10, train loss : 0.471491, train accurancy : 79.35, test accurancy : 72.59
Epochs : 11, train loss : 0.471328, train accurancy : 80.19, test accurancy : 72.59
Epochs : 12, train loss : 0.454077, train accurancy : 80.56, test accurancy : 72.78
Epochs : 13, train loss : 0.452790, train accurancy : 80.65, test accurancy : 73.61
Epochs : 14, train loss : 0.441124, train accurancy : 80.37, test accurancy : 72.50
Epochs : 15, train loss : 0.455993, train accurancy : 80.83, test accurancy : 72.22
Epochs : 16, train loss : 0.446658, train accurancy : 80.28, test accurancy : 73.06
Epochs : 17, train loss : 0.432312, train accurancy : 81.11, test accurancy : 73.15
Epochs : 18, train loss : 0.428046, train accurancy : 82.13, test accurancy : 73.06
Epochs : 19, train loss : 0.432309, train accurancy : 82.22, test accurancy : 73.80
Epochs : 20, train loss : 0.425044, train accurancy : 82.78, test accurancy : 74.07
Epochs : 21, train loss : 0.419236, train accurancy : 83.24, test accurancy : 74.07
Epochs : 22, train loss : 0.417507, train accurancy : 82.78, test accurancy : 73.98
Epochs : 23, train loss : 0.419017, train accurancy : 83.06, test accurancy : 74.81
Epochs : 24, train loss : 0.411705, train accurancy : 84.54, test accurancy : 75.09
Epochs : 25, train loss : 0.403849, train accurancy : 84.91, test accurancy : 75.09
Epochs : 26, train loss : 0.414751, train accurancy : 85.56, test accurancy : 75.83
Epochs : 27, train loss : 0.395581, train accurancy : 85.37, test accurancy : 74.72
Epochs : 28, train loss : 0.392800, train accurancy : 86.11, test accurancy : 75.56
Epochs : 29, train loss : 0.404523, train accurancy : 86.94, test accurancy : 75.83
Epochs : 30, train loss : 0.376820, train accurancy : 86.02, test accurancy : 75.37
Epochs : 31, train loss : 0.382841, train accurancy : 86.76, test accurancy : 75.74
Epochs : 32, train loss : 0.373334, train accurancy : 85.37, test accurancy : 75.93
Epochs : 33, train loss : 0.372150, train accurancy : 87.22, test accurancy : 76.30
Epochs : 34, train loss : 0.366672, train accurancy : 86.30, test accurancy : 76.30
Epochs : 35, train loss : 0.363717, train accurancy : 88.61, test accurancy : 76.67
Epochs : 36, train loss : 0.358105, train accurancy : 87.22, test accurancy : 76.57
Epochs : 37, train loss : 0.343307, train accurancy : 87.59, test accurancy : 77.41
Epochs : 38, train loss : 0.340717, train accurancy : 88.06, test accurancy : 77.87
Epochs : 39, train loss : 0.332046, train accurancy : 89.26, test accurancy : 78.15
Epochs : 40, train loss : 0.338652, train accurancy : 89.81, test accurancy : 77.78
Epochs : 41, train loss : 0.332444, train accurancy : 90.65, test accurancy : 77.87
Epochs : 42, train loss : 0.329106, train accurancy : 90.56, test accurancy : 78.15
Epochs : 43, train loss : 0.319569, train accurancy : 88.61, test accurancy : 77.22
Epochs : 44, train loss : 0.309533, train accurancy : 91.76, test accurancy : 79.26
Epochs : 45, train loss : 0.306668, train accurancy : 90.83, test accurancy : 79.35
Epochs : 46, train loss : 0.306157, train accurancy : 91.39, test accurancy : 78.80
Epochs : 47, train loss : 0.301335, train accurancy : 92.41, test accurancy : 79.07
Epochs : 48, train loss : 0.296964, train accurancy : 91.39, test accurancy : 78.52
Epochs : 49, train loss : 0.297659, train accurancy : 93.61, test accurancy : 79.44
Epochs : 50, train loss : 0.288108, train accurancy : 92.69, test accurancy : 79.17
Epochs : 51, train loss : 0.281234, train accurancy : 91.48, test accurancy : 79.26
Epochs : 52, train loss : 0.287309, train accurancy : 92.96, test accurancy : 79.72
Epochs : 53, train loss : 0.284527, train accurancy : 92.50, test accurancy : 80.56
Epochs : 54, train loss : 0.278050, train accurancy : 92.78, test accurancy : 80.83
Epochs : 55, train loss : 0.276929, train accurancy : 93.24, test accurancy : 80.74
Epochs : 56, train loss : 0.263915, train accurancy : 93.80, test accurancy : 79.81
Epochs : 57, train loss : 0.239016, train accurancy : 93.43, test accurancy : 80.46
Epochs : 58, train loss : 0.260052, train accurancy : 93.80, test accurancy : 79.91
Epochs : 59, train loss : 0.266679, train accurancy : 93.43, test accurancy : 79.35
Epochs : 60, train loss : 0.255912, train accurancy : 92.78, test accurancy : 79.72
Epochs : 61, train loss : 0.251618, train accurancy : 93.80, test accurancy : 80.19
Epochs : 62, train loss : 0.271249, train accurancy : 93.61, test accurancy : 80.19
Epochs : 63, train loss : 0.238790, train accurancy : 94.81, test accurancy : 81.20
Epochs : 64, train loss : 0.224045, train accurancy : 93.70, test accurancy : 79.91
Epochs : 65, train loss : 0.230439, train accurancy : 93.80, test accurancy : 80.65
Epochs : 66, train loss : 0.251390, train accurancy : 93.61, test accurancy : 80.93
Epochs : 67, train loss : 0.237473, train accurancy : 94.72, test accurancy : 81.02
Epochs : 68, train loss : 0.246309, train accurancy : 94.81, test accurancy : 80.65
Epochs : 69, train loss : 0.231538, train accurancy : 95.28, test accurancy : 80.37
Epochs : 70, train loss : 0.239086, train accurancy : 95.09, test accurancy : 80.83
Epochs : 71, train loss : 0.233304, train accurancy : 95.19, test accurancy : 80.37
Epochs : 72, train loss : 0.220721, train accurancy : 95.65, test accurancy : 80.83
Epochs : 73, train loss : 0.231309, train accurancy : 96.02, test accurancy : 80.28
Epochs : 74, train loss : 0.218286, train accurancy : 95.09, test accurancy : 81.11
Epochs : 75, train loss : 0.221943, train accurancy : 95.56, test accurancy : 81.30
Epochs : 76, train loss : 0.219118, train accurancy : 95.09, test accurancy : 80.09
Epochs : 77, train loss : 0.217212, train accurancy : 95.93, test accurancy : 80.19
Epochs : 78, train loss : 0.221932, train accurancy : 95.56, test accurancy : 80.65
Epochs : 79, train loss : 0.199057, train accurancy : 95.37, test accurancy : 80.56
Epochs : 80, train loss : 0.206744, train accurancy : 96.30, test accurancy : 79.91
Epochs : 81, train loss : 0.205252, train accurancy : 96.67, test accurancy : 80.74
Epochs : 82, train loss : 0.216168, train accurancy : 96.30, test accurancy : 80.93
Epochs : 83, train loss : 0.211039, train accurancy : 95.65, test accurancy : 80.65
Epochs : 84, train loss : 0.198862, train accurancy : 96.57, test accurancy : 81.02
Epochs : 85, train loss : 0.189066, train accurancy : 96.67, test accurancy : 80.74
Epochs : 86, train loss : 0.206777, train accurancy : 96.67, test accurancy : 80.83
Epochs : 87, train loss : 0.195825, train accurancy : 97.04, test accurancy : 81.57
Epochs : 88, train loss : 0.197755, train accurancy : 96.67, test accurancy : 80.93
Epochs : 89, train loss : 0.205369, train accurancy : 96.94, test accurancy : 81.67
Epochs : 90, train loss : 0.199242, train accurancy : 96.48, test accurancy : 80.83
Epochs : 91, train loss : 0.204539, train accurancy : 97.41, test accurancy : 81.57
Epochs : 92, train loss : 0.184128, train accurancy : 97.41, test accurancy : 80.93
Epochs : 93, train loss : 0.190890, train accurancy : 97.59, test accurancy : 81.02
Epochs : 94, train loss : 0.187580, train accurancy : 97.50, test accurancy : 80.93
Epochs : 95, train loss : 0.179014, train accurancy : 96.11, test accurancy : 81.20
Epochs : 96, train loss : 0.191226, train accurancy : 97.22, test accurancy : 80.46
Epochs : 97, train loss : 0.173670, train accurancy : 96.85, test accurancy : 80.65
Epochs : 98, train loss : 0.175891, train accurancy : 97.04, test accurancy : 81.11
Epochs : 99, train loss : 0.197273, train accurancy : 97.59, test accurancy : 81.02
Epochs : 100, train loss : 0.170439, train accurancy : 97.22, test accurancy : 80.65
Epochs : 101, train loss : 0.190365, train accurancy : 97.22, test accurancy : 80.74
Epochs : 102, train loss : 0.167477, train accurancy : 96.94, test accurancy : 80.19
Epochs : 103, train loss : 0.162142, train accurancy : 97.87, test accurancy : 81.20
Epochs : 104, train loss : 0.170579, train accurancy : 98.06, test accurancy : 80.74
Epochs : 105, train loss : 0.184916, train accurancy : 97.59, test accurancy : 80.93
Epochs : 106, train loss : 0.174803, train accurancy : 98.33, test accurancy : 80.83
Epochs : 107, train loss : 0.171872, train accurancy : 97.59, test accurancy : 80.65
Epochs : 108, train loss : 0.166409, train accurancy : 98.43, test accurancy : 81.48
Epochs : 109, train loss : 0.164292, train accurancy : 98.52, test accurancy : 80.56
Epochs : 110, train loss : 0.159326, train accurancy : 98.33, test accurancy : 80.74
Epochs : 111, train loss : 0.169732, train accurancy : 97.87, test accurancy : 81.02
Epochs : 112, train loss : 0.151546, train accurancy : 98.61, test accurancy : 81.11
Epochs : 113, train loss : 0.156447, train accurancy : 97.59, test accurancy : 80.83
Epochs : 114, train loss : 0.157920, train accurancy : 98.15, test accurancy : 80.83
Epochs : 115, train loss : 0.164306, train accurancy : 98.24, test accurancy : 81.48
Epochs : 116, train loss : 0.148256, train accurancy : 98.80, test accurancy : 81.20
Epochs : 117, train loss : 0.166983, train accurancy : 98.33, test accurancy : 81.48
Epochs : 118, train loss : 0.148599, train accurancy : 98.43, test accurancy : 80.83
Epochs : 119, train loss : 0.152251, train accurancy : 98.52, test accurancy : 82.41
Epochs : 120, train loss : 0.165928, train accurancy : 98.24, test accurancy : 81.20
Epochs : 121, train loss : 0.152054, train accurancy : 98.89, test accurancy : 81.57
Epochs : 122, train loss : 0.156265, train accurancy : 98.43, test accurancy : 81.20
Epochs : 123, train loss : 0.153969, train accurancy : 98.70, test accurancy : 81.48
Epochs : 124, train loss : 0.159439, train accurancy : 98.61, test accurancy : 80.65
Epochs : 125, train loss : 0.166621, train accurancy : 98.70, test accurancy : 81.20
Epochs : 126, train loss : 0.146566, train accurancy : 99.26, test accurancy : 81.57
Epochs : 127, train loss : 0.147359, train accurancy : 98.98, test accurancy : 81.94
Epochs : 128, train loss : 0.127380, train accurancy : 98.89, test accurancy : 81.85
Epochs : 129, train loss : 0.143256, train accurancy : 99.35, test accurancy : 81.20
Epochs : 130, train loss : 0.143088, train accurancy : 99.07, test accurancy : 81.94
Epochs : 131, train loss : 0.156344, train accurancy : 98.33, test accurancy : 82.04
Epochs : 132, train loss : 0.144786, train accurancy : 99.35, test accurancy : 82.04
Epochs : 133, train loss : 0.137016, train accurancy : 99.07, test accurancy : 80.56
Epochs : 134, train loss : 0.137226, train accurancy : 99.26, test accurancy : 81.30
Epochs : 135, train loss : 0.138454, train accurancy : 99.44, test accurancy : 81.39
Epochs : 136, train loss : 0.130589, train accurancy : 99.07, test accurancy : 82.13
Epochs : 137, train loss : 0.124536, train accurancy : 98.70, test accurancy : 81.57
Epochs : 138, train loss : 0.148835, train accurancy : 99.35, test accurancy : 81.30
Epochs : 139, train loss : 0.124982, train accurancy : 98.89, test accurancy : 80.19
Epochs : 140, train loss : 0.133562, train accurancy : 99.07, test accurancy : 81.39
Epochs : 141, train loss : 0.130525, train accurancy : 99.26, test accurancy : 80.74
Epochs : 142, train loss : 0.124077, train accurancy : 99.44, test accurancy : 81.39
Epochs : 143, train loss : 0.118439, train accurancy : 99.54, test accurancy : 80.65
Epochs : 144, train loss : 0.131225, train accurancy : 99.54, test accurancy : 82.50
Epochs : 145, train loss : 0.128777, train accurancy : 99.26, test accurancy : 81.39
Epochs : 146, train loss : 0.135092, train accurancy : 98.98, test accurancy : 81.76
