Epochs : 1, train loss : 0.660997, train accurancy : 69.07, test accurancy : 67.31
Epochs : 2, train loss : 0.554590, train accurancy : 72.31, test accurancy : 70.09
Epochs : 3, train loss : 0.534862, train accurancy : 74.63, test accurancy : 70.56
Epochs : 4, train loss : 0.514223, train accurancy : 76.85, test accurancy : 71.20
Epochs : 5, train loss : 0.507066, train accurancy : 76.85, test accurancy : 72.13
Epochs : 6, train loss : 0.482441, train accurancy : 77.69, test accurancy : 71.76
Epochs : 7, train loss : 0.479318, train accurancy : 79.81, test accurancy : 72.96
Epochs : 8, train loss : 0.479526, train accurancy : 80.00, test accurancy : 73.33
Epochs : 9, train loss : 0.444101, train accurancy : 80.37, test accurancy : 73.43
Epochs : 10, train loss : 0.462792, train accurancy : 81.02, test accurancy : 74.26
Epochs : 11, train loss : 0.449537, train accurancy : 81.20, test accurancy : 73.15
Epochs : 12, train loss : 0.448902, train accurancy : 82.87, test accurancy : 75.09
Epochs : 13, train loss : 0.446712, train accurancy : 82.59, test accurancy : 74.72
Epochs : 14, train loss : 0.420361, train accurancy : 81.20, test accurancy : 74.17
Epochs : 15, train loss : 0.420947, train accurancy : 82.59, test accurancy : 74.26
Epochs : 16, train loss : 0.413748, train accurancy : 83.70, test accurancy : 75.83
Epochs : 17, train loss : 0.408192, train accurancy : 86.39, test accurancy : 76.67
Epochs : 18, train loss : 0.403529, train accurancy : 83.43, test accurancy : 74.63
Epochs : 19, train loss : 0.401294, train accurancy : 86.76, test accurancy : 76.57
Epochs : 20, train loss : 0.363668, train accurancy : 87.78, test accurancy : 78.15
Epochs : 21, train loss : 0.375486, train accurancy : 86.11, test accurancy : 76.85
Epochs : 22, train loss : 0.363029, train accurancy : 88.98, test accurancy : 78.80
Epochs : 23, train loss : 0.347780, train accurancy : 88.70, test accurancy : 78.43
Epochs : 24, train loss : 0.343431, train accurancy : 89.54, test accurancy : 79.35
Epochs : 25, train loss : 0.327874, train accurancy : 90.83, test accurancy : 81.39
Epochs : 26, train loss : 0.326094, train accurancy : 90.28, test accurancy : 80.37
Epochs : 27, train loss : 0.321973, train accurancy : 90.83, test accurancy : 80.37
Epochs : 28, train loss : 0.311694, train accurancy : 90.37, test accurancy : 80.56
Epochs : 29, train loss : 0.299211, train accurancy : 87.78, test accurancy : 78.98
Epochs : 30, train loss : 0.310310, train accurancy : 92.50, test accurancy : 81.48
Epochs : 31, train loss : 0.292319, train accurancy : 91.02, test accurancy : 81.94
Epochs : 32, train loss : 0.283465, train accurancy : 91.02, test accurancy : 80.56
Epochs : 33, train loss : 0.285199, train accurancy : 93.61, test accurancy : 82.59
Epochs : 34, train loss : 0.279701, train accurancy : 92.59, test accurancy : 81.94
Epochs : 35, train loss : 0.270524, train accurancy : 91.85, test accurancy : 82.96
Epochs : 36, train loss : 0.267753, train accurancy : 90.74, test accurancy : 80.37
Epochs : 37, train loss : 0.260241, train accurancy : 94.26, test accurancy : 82.59
Epochs : 38, train loss : 0.258352, train accurancy : 94.54, test accurancy : 83.33
Epochs : 39, train loss : 0.238502, train accurancy : 94.17, test accurancy : 82.87
Epochs : 40, train loss : 0.252726, train accurancy : 93.24, test accurancy : 83.43
Epochs : 41, train loss : 0.245594, train accurancy : 94.72, test accurancy : 83.80
Epochs : 42, train loss : 0.229877, train accurancy : 93.70, test accurancy : 82.96
Epochs : 43, train loss : 0.233016, train accurancy : 95.28, test accurancy : 83.33
Epochs : 44, train loss : 0.218104, train accurancy : 96.02, test accurancy : 83.24
Epochs : 45, train loss : 0.240915, train accurancy : 95.74, test accurancy : 82.13
Epochs : 46, train loss : 0.212735, train accurancy : 94.26, test accurancy : 82.04
Epochs : 47, train loss : 0.221656, train accurancy : 95.09, test accurancy : 83.33
Epochs : 48, train loss : 0.210760, train accurancy : 96.30, test accurancy : 83.89
Epochs : 49, train loss : 0.215548, train accurancy : 96.11, test accurancy : 84.26
