Epochs : 1, train loss : 0.614365, train accurancy : 73.15, test accurancy : 71.11
Epochs : 2, train loss : 0.549526, train accurancy : 75.46, test accurancy : 70.46
Epochs : 3, train loss : 0.523548, train accurancy : 71.30, test accurancy : 69.54
Epochs : 4, train loss : 0.519571, train accurancy : 76.20, test accurancy : 72.41
Epochs : 5, train loss : 0.487985, train accurancy : 77.87, test accurancy : 72.69
Epochs : 6, train loss : 0.499457, train accurancy : 77.59, test accurancy : 73.80
Epochs : 7, train loss : 0.471596, train accurancy : 79.35, test accurancy : 73.33
Epochs : 8, train loss : 0.468695, train accurancy : 80.19, test accurancy : 74.26
Epochs : 9, train loss : 0.449719, train accurancy : 81.20, test accurancy : 73.52
Epochs : 10, train loss : 0.449704, train accurancy : 80.46, test accurancy : 73.52
Epochs : 11, train loss : 0.445106, train accurancy : 81.57, test accurancy : 73.98
Epochs : 12, train loss : 0.436765, train accurancy : 81.48, test accurancy : 74.63
Epochs : 13, train loss : 0.428330, train accurancy : 81.76, test accurancy : 74.17
Epochs : 14, train loss : 0.433986, train accurancy : 83.89, test accurancy : 75.46
Epochs : 15, train loss : 0.410149, train accurancy : 85.28, test accurancy : 75.83
Epochs : 16, train loss : 0.393965, train accurancy : 84.35, test accurancy : 74.81
Epochs : 17, train loss : 0.396243, train accurancy : 85.74, test accurancy : 76.02
Epochs : 18, train loss : 0.371844, train accurancy : 88.33, test accurancy : 79.35
Epochs : 19, train loss : 0.354685, train accurancy : 88.33, test accurancy : 78.43
Epochs : 20, train loss : 0.348252, train accurancy : 88.89, test accurancy : 80.28
Epochs : 21, train loss : 0.336278, train accurancy : 89.91, test accurancy : 80.37
Epochs : 22, train loss : 0.355098, train accurancy : 88.43, test accurancy : 78.80
Epochs : 23, train loss : 0.326865, train accurancy : 90.00, test accurancy : 80.09
Epochs : 24, train loss : 0.325606, train accurancy : 92.59, test accurancy : 80.46
Epochs : 25, train loss : 0.322735, train accurancy : 92.78, test accurancy : 80.83
Epochs : 26, train loss : 0.313280, train accurancy : 90.65, test accurancy : 81.30
Epochs : 27, train loss : 0.312577, train accurancy : 91.76, test accurancy : 81.57
Epochs : 28, train loss : 0.301054, train accurancy : 92.13, test accurancy : 81.20
Epochs : 29, train loss : 0.291251, train accurancy : 93.24, test accurancy : 81.94
Epochs : 30, train loss : 0.268154, train accurancy : 92.69, test accurancy : 80.28
Epochs : 31, train loss : 0.292127, train accurancy : 93.70, test accurancy : 81.94
Epochs : 32, train loss : 0.272752, train accurancy : 93.33, test accurancy : 82.22
Epochs : 33, train loss : 0.274370, train accurancy : 94.07, test accurancy : 82.78
Epochs : 34, train loss : 0.259692, train accurancy : 93.89, test accurancy : 81.67
Epochs : 35, train loss : 0.256570, train accurancy : 94.26, test accurancy : 82.69
Epochs : 36, train loss : 0.245641, train accurancy : 93.61, test accurancy : 81.76
Epochs : 37, train loss : 0.251271, train accurancy : 94.17, test accurancy : 82.31
Epochs : 38, train loss : 0.263189, train accurancy : 94.63, test accurancy : 82.59
Epochs : 39, train loss : 0.227229, train accurancy : 94.17, test accurancy : 82.31
Epochs : 40, train loss : 0.238847, train accurancy : 94.91, test accurancy : 82.50
Epochs : 41, train loss : 0.239645, train accurancy : 93.80, test accurancy : 81.67
Epochs : 42, train loss : 0.232150, train accurancy : 94.44, test accurancy : 82.04
Epochs : 43, train loss : 0.246871, train accurancy : 95.28, test accurancy : 82.31
Epochs : 44, train loss : 0.230571, train accurancy : 94.91, test accurancy : 82.04
Epochs : 45, train loss : 0.229444, train accurancy : 95.83, test accurancy : 80.74
Epochs : 46, train loss : 0.235526, train accurancy : 95.09, test accurancy : 82.78
Epochs : 47, train loss : 0.216434, train accurancy : 96.11, test accurancy : 83.06
Epochs : 48, train loss : 0.212859, train accurancy : 96.39, test accurancy : 83.52
Epochs : 49, train loss : 0.219705, train accurancy : 95.65, test accurancy : 82.78
Epochs : 50, train loss : 0.208120, train accurancy : 95.19, test accurancy : 82.22
Epochs : 51, train loss : 0.204664, train accurancy : 96.67, test accurancy : 82.31
Epochs : 52, train loss : 0.195725, train accurancy : 94.72, test accurancy : 81.67
Epochs : 53, train loss : 0.194776, train accurancy : 95.74, test accurancy : 83.52
Epochs : 54, train loss : 0.200490, train accurancy : 96.57, test accurancy : 83.15
Epochs : 55, train loss : 0.204298, train accurancy : 97.41, test accurancy : 82.50
Epochs : 56, train loss : 0.193023, train accurancy : 96.48, test accurancy : 82.04
Epochs : 57, train loss : 0.174813, train accurancy : 96.57, test accurancy : 82.22
Epochs : 58, train loss : 0.201234, train accurancy : 97.22, test accurancy : 83.33
Epochs : 59, train loss : 0.183911, train accurancy : 97.31, test accurancy : 83.52
Epochs : 60, train loss : 0.186897, train accurancy : 97.50, test accurancy : 82.69
Epochs : 61, train loss : 0.174755, train accurancy : 96.76, test accurancy : 83.24
Epochs : 62, train loss : 0.176811, train accurancy : 97.50, test accurancy : 83.15
Epochs : 63, train loss : 0.183067, train accurancy : 97.59, test accurancy : 83.33
Epochs : 64, train loss : 0.154840, train accurancy : 97.50, test accurancy : 83.24
Epochs : 65, train loss : 0.168793, train accurancy : 97.41, test accurancy : 82.96
Epochs : 66, train loss : 0.184697, train accurancy : 97.13, test accurancy : 83.61
Epochs : 67, train loss : 0.154776, train accurancy : 98.33, test accurancy : 83.33
Epochs : 68, train loss : 0.169306, train accurancy : 97.59, test accurancy : 83.15
Epochs : 69, train loss : 0.151101, train accurancy : 97.78, test accurancy : 82.04
Epochs : 70, train loss : 0.165324, train accurancy : 97.78, test accurancy : 83.80
Epochs : 71, train loss : 0.156474, train accurancy : 98.70, test accurancy : 83.15
Epochs : 72, train loss : 0.153184, train accurancy : 98.06, test accurancy : 83.33
Epochs : 73, train loss : 0.157575, train accurancy : 98.52, test accurancy : 83.24
Epochs : 74, train loss : 0.153773, train accurancy : 97.96, test accurancy : 83.24
Epochs : 75, train loss : 0.150194, train accurancy : 98.06, test accurancy : 83.61
Epochs : 76, train loss : 0.145154, train accurancy : 98.70, test accurancy : 83.52
Epochs : 77, train loss : 0.149357, train accurancy : 98.33, test accurancy : 83.33
Epochs : 78, train loss : 0.136019, train accurancy : 98.89, test accurancy : 83.06
Epochs : 79, train loss : 0.141868, train accurancy : 98.24, test accurancy : 83.43
Epochs : 80, train loss : 0.134718, train accurancy : 98.33, test accurancy : 83.52
Epochs : 81, train loss : 0.142239, train accurancy : 99.07, test accurancy : 83.70
Epochs : 82, train loss : 0.143997, train accurancy : 98.52, test accurancy : 84.35
Epochs : 83, train loss : 0.128630, train accurancy : 98.43, test accurancy : 82.59
Epochs : 84, train loss : 0.132569, train accurancy : 98.89, test accurancy : 83.89
Epochs : 85, train loss : 0.133028, train accurancy : 98.98, test accurancy : 83.52
Epochs : 86, train loss : 0.140782, train accurancy : 98.98, test accurancy : 83.61
Epochs : 87, train loss : 0.142218, train accurancy : 98.98, test accurancy : 83.52
Epochs : 88, train loss : 0.137299, train accurancy : 98.89, test accurancy : 83.43
Epochs : 89, train loss : 0.127241, train accurancy : 98.70, test accurancy : 82.78
Epochs : 90, train loss : 0.129215, train accurancy : 99.07, test accurancy : 83.70
Epochs : 91, train loss : 0.131989, train accurancy : 98.80, test accurancy : 83.24
Epochs : 92, train loss : 0.123068, train accurancy : 98.80, test accurancy : 83.24
Epochs : 93, train loss : 0.144641, train accurancy : 98.43, test accurancy : 82.59
Epochs : 94, train loss : 0.152810, train accurancy : 99.17, test accurancy : 83.43
Epochs : 95, train loss : 0.137301, train accurancy : 99.17, test accurancy : 82.96
Epochs : 96, train loss : 0.126193, train accurancy : 99.07, test accurancy : 84.07
Epochs : 97, train loss : 0.128406, train accurancy : 99.35, test accurancy : 84.35
Epochs : 98, train loss : 0.117075, train accurancy : 99.35, test accurancy : 83.89
Epochs : 99, train loss : 0.115803, train accurancy : 99.35, test accurancy : 83.06
Epochs : 100, train loss : 0.128881, train accurancy : 98.61, test accurancy : 83.33
Epochs : 101, train loss : 0.121997, train accurancy : 99.17, test accurancy : 83.89
Epochs : 102, train loss : 0.133527, train accurancy : 99.07, test accurancy : 83.89
Epochs : 103, train loss : 0.123708, train accurancy : 99.17, test accurancy : 83.43
Epochs : 104, train loss : 0.123466, train accurancy : 99.35, test accurancy : 83.06
Epochs : 105, train loss : 0.131886, train accurancy : 99.44, test accurancy : 83.33
Epochs : 106, train loss : 0.105389, train accurancy : 99.26, test accurancy : 83.61
Epochs : 107, train loss : 0.105187, train accurancy : 99.17, test accurancy : 83.33
Epochs : 108, train loss : 0.116196, train accurancy : 99.63, test accurancy : 83.80
Epochs : 109, train loss : 0.107283, train accurancy : 99.35, test accurancy : 84.07
Epochs : 110, train loss : 0.102936, train accurancy : 99.26, test accurancy : 84.17
Epochs : 111, train loss : 0.108310, train accurancy : 99.54, test accurancy : 84.26
Epochs : 112, train loss : 0.115793, train accurancy : 99.44, test accurancy : 84.07
Epochs : 113, train loss : 0.098163, train accurancy : 99.63, test accurancy : 83.80
Epochs : 114, train loss : 0.114220, train accurancy : 99.72, test accurancy : 83.98
Epochs : 115, train loss : 0.108115, train accurancy : 99.63, test accurancy : 84.72
Epochs : 116, train loss : 0.113018, train accurancy : 99.81, test accurancy : 84.17
Epochs : 117, train loss : 0.106696, train accurancy : 99.72, test accurancy : 83.89
Epochs : 118, train loss : 0.107962, train accurancy : 99.81, test accurancy : 84.26
